pickup_day,trips,total_revenue,avg_total_amount,avg_fare_amount,avg_trip_distance
2001-01-01,6,337.66,56.27666666666667,45.51666666666667,10.793333333333335
2002-12-31,3,138.25,46.083333333333336,39.56666666666667,9.176666666666668
2003-01-01,4,318.08,79.52,70.3,14.09
2008-12-31,11,383.69000000000005,34.88090909090909,26.44545454545455,5.902727272727272
2009-01-01,1,16.4,16.4,11.4,1.92
2014-11-19,1,52.38,52.38,33.1,6.43
2022-10-24,4,337.27,84.3175,73.75,0.0
2022-10-25,7,423.22,60.46,52.0,1.5400000000000003
2022-12-31,25,658.23,26.3292,16.628,3.312000000000001
2023-01-01,76018,2367039.029999983,31.13787563471787,22.294420795075183,4.310815859401771
2023-01-02,65088,2049875.310000037,31.49390532817166,22.396660982055057,4.537645188053097
2023-01-03,85005,2509509.4200000213,29.52190365272656,20.386801482265913,3.8668319510617404
2023-01-04,94288,2664432.6300000073,28.258448901238836,19.29749172747325,3.536755366536562
2023-01-05,100266,2755256.930000023,27.479473899427752,18.660770650070884,3.3743692777212617
2023-01-06,101724,2733422.5600000536,26.870970075892156,18.121467303684614,3.2247117691007006
2023-01-07,104110,2685007.2700000284,25.79009960618604,17.862147920468765,3.231436845644051
2023-01-08,84337,2422693.9800000177,28.726347629154674,20.08905913181678,3.9515330163510796
2023-01-09,84625,2389345.74000004,28.23451391432839,19.15326428360416,3.5809712259970325
2023-01-10,99158,2649537.090000072,26.72035630004712,17.92621039149612,3.1649619798705144
2023-01-11,105333,2785626.9999999977,26.445909638954532,17.664878338222646,3.110459779936005
2023-01-12,110566,3080069.1700000274,27.85729039668639,18.761960910225735,3.2943033120489296
2023-01-13,109798,3106552.7200000114,28.29334523397522,18.99227727281008,3.428625840179212
2023-01-14,111957,2945651.8499999917,26.310564323802815,18.123122091517352,3.211721375170812
2023-01-15,96044,2627393.5900000236,27.356144996043724,18.95469076673175,3.5717845987255905
2023-01-16,79406,2314220.609999982,29.144152960733223,20.17773480593431,3.9747716797219335
2023-01-17,100240,2834935.6900000535,28.28148134477308,19.074770750199555,3.4268445730247152
2023-01-18,105329,2879084.710000043,27.33420719839781,18.334605094513563,3.1996999876577297
2023-01-19,113773,3088519.0300000045,27.14632672075101,18.24083859966783,3.033713622740011
2023-01-20,108561,2947062.900000022,27.146607897864076,18.223220217205046,3.1961876732896632
2023-01-21,111050,2789542.2500000466,25.119696082845984,17.275689239081537,3.039558757316505
2023-01-22,88899,2471076.1100000152,27.796444391950587,19.253100709794403,3.686394110170016
2023-01-23,89035,2449261.370000058,27.50897253888985,18.502665468636092,3.3876008311338177
2023-01-24,103047,2742991.7599999746,26.618841499509685,17.772206857065097,3.066572340776523
2023-01-25,108362,2823786.2300000484,26.05882348055636,17.327966353518708,2.903021815765682
2023-01-26,114012,3121060.8100000536,27.37484484089441,18.330310581342314,3.184533821001298
2023-01-27,110755,2992530.1699999915,27.01936860638338,18.061271093855762,3.166404947857901
2023-01-28,110678,2785226.6600000192,25.165133630893397,17.302094454182562,2.98378295596234
2023-01-29,87403,2435584.4500000016,27.866142466505746,19.304956008375115,3.7032012631145186
2023-01-30,83068,2327620.1399999787,28.020659459719493,18.94470506091384,3.487206264746972
2023-01-31,99653,2682810.9700000333,26.921527400078606,18.107536752531324,3.0408473402707314
2023-02-01,106891,2824998.000000042,26.428773236287824,17.648634964590123,3.0639399013949107
2023-02-02,112163,3002577.26000004,26.769765965603984,17.86911370059661,3.10187343419844
2023-02-03,114177,2998513.150000015,26.261971763139815,17.44338474473835,3.0473314240170986
2023-02-04,97392,2436774.089999991,25.020269529324697,17.147514990964282,3.012644878429426
2023-02-05,83296,2368191.3099999917,28.43103282270447,19.74504213887792,3.805022690165168
2023-02-06,90214,2529994.130000065,28.044362626644038,18.9125325337531,3.4890764182942604
2023-02-07,105260,2791148.390000005,26.51670520615623,17.686801729051872,3.0689963898916908
2023-02-08,107596,2888530.5499999905,26.84607745641093,17.938565560057974,3.0986699319677444
2023-02-09,114233,3186443.380000049,27.894245795873772,18.771170677474995,3.2484776728266116
2023-02-10,113362,3125775.460000032,27.57339725834082,18.52226495651095,3.242514158183506
2023-02-11,113500,2928312.6900000423,25.800111806167774,17.841633039647718,3.0638385903083623
